3, 0,-2026.872,-2029.462,-2030.941,-2037.417
4, 0,-1996.233,-1997.545,-1994.4,-1993.638
4, 1,-2697.547,-2698.353,-2700.925,-2699.775
5, 1,-2406.722,-2409.131,-2405.285,-2402.66
5, 2,-2261.144,-2266.02,-2264.176,-2263.071
5, 3,-1657.514,-1656.513,-1658.458,-1655.013
5, 4,-1182.072,-1179.553,-1177.096,-1180.157
5, 5,-718.2751,-720.0827,-721.6335,-723.0985
0, 2,-2700.807,-2695.939,-2698.018,-2699.708
1, 2,-2689.679,-2697.926,-2685.005,-2693.888
1, 1,-2409.982,-2417.457,-2405.454,-2413.13
0, 1,-1987.15,-1990.811,-1988.512,-1990.124
-1, 2,-2633.385,-2629.202,-2625.092,-2638.167
-2, 2,-2797.273,-2802.462,-2800.329,-2793.913
-2, 1,-2733.875,-2731.941,-2728.013,-2736.202
-3, 1,-2914.695,-2914.199,-2929.498,-2916.164
-4, 1,-2865.397,-2861.164,-2864.029,-2862.767
-4, 0,-2108.84,-2104.473,-2107.554,-2111.412
-4, -1,-1575.855,-1580.264,-1577.521,-1578.121
-5, -1,-1550.126,-1556.108,-1552.021,-1547.911
-5, -2,-1289.242,-1293.588,-1298.129,-1296.462
-5, -3,-1000.605,-1002.961,-1004.422,-1001.922
-4, -3,-1014.134,-1015.095,-1018.762,-1010.609
-3, -3,-961.1948,-945.7766,-947.4853,-948.4758
-3, -4,-730.102,-729.694,-730.9316,-727.3715
-3, -5,-484.2442,-481.2214,-481.9731,-488.8263
-5, 0,-2003.01,-2003.994,-1996.025,-1994.659
-6, 0,-1698.907,-1701.64,-1700.977,-1698.05
-7, 0,-1417.884,-1416.915,-1420.845,-1418.481
-8, 0,-1142.816,-1139.606,-1143.849,-1141.583
-8, 1,-1184.647,-1187.228,-1186.12,-1188.578
-9, 1,-873.6516,-881.3866,-877.6738,-878.3984
-10, 1,-655.314,-657.994,-662.8116,-654.0107
-11, 1,-469.9597,-470.787,-472.7975,-471.6459
-12, 1,-311.4519,-320.3286,-307.7335,-309.1012
-13, 1,-187.5917,-185.9308,-199.8981,-190.1998
-13, 0,-189.204,-187.1468,-190.602,-191.1557
-13, -1,-183.9415,-180.8188,-184.8827,-196.2563
-14, -1,-101.4473,-99.53396,-96.66804,-96.62832
-15, -1,-34.31971,-31.60815,-27.68813,-30.57942
2, 1,-2807.413,-2798.066,-2800.119,-2802.985
3, 1,-2860.955,-2856.378,-2863.953,-2857.655
3, 2,-2805.5,-2808.786,-2801.318,-2806.176
3, 3,-2102.434,-2093.578,-2100.068,-2097.721
2, 3,-2122.206,-2114.048,-2115.469,-2112.843
1, 3,-2056.704,-2054.318,-2062.928,-2059.346
0, 3,-2085.552,-2088.327,-2086.71,-2085.153
-1, 3,-2075.586,-2079.209,-2077.907,-2076.129
-2, 3,-2119.096,-2121.365,-2120.419,-2123.285
-2, 4,-1517.446,-1519.623,-1511,-1520.56
-3, 4,-1490.698,-1493.148,-1495.048,-1489.776
-4, 4,-1459.959,-1457.808,-1449.194,-1453.283
-4, 5,-931.4681,-934.2268,-926.9432,-930.0124
-5, 5,-811.6972,-815.0028,-813.3442,-822.4188
-6, 5,-658.5152,-660.6007,-661.785,-653.8781
-6, 4,-1052.823,-1054.077,-1055.625,-1056.612
-5, 4,-1333.856,-1329.929,-1331.014,-1331.397
-1, 4,-1514.107,-1512.479,-1513.493,-1521.888
0, 4,-1493.815,-1490.593,-1497.185,-1489.09
-3, 3,-2128.704,-2126.947,-2131.577,-2129.666
-3, 2,-2826.257,-2835.63,-2822.267,-2823.268
-5, 1,-2640.384,-2638.823,-2636.129,-2637.096
-5, 2,-2458.497,-2462.047,-2470.249,-2460.688
-6, 2,-1764.565,-1760.703,-1761.807,-1765.354
-7, 2,-1371.784,-1376.374,-1374.905,-1372.746
-7, 1,-1495.427,-1497.401,-1494.321,-1504.397
-5, 3,-1879.641,-1877.495,-1878.865,-1881.356
-5, 6,-363.5069,-366.5004,-365.2821,-362.6974
-6, 6,-311.3268,-309.7278,-312.6362,-308.3096
