100, -35
200, -67
300, -118
400, -152
500, -185
600, -229
700, -259
800, -293
900, -337
1000, -393
1100, -436
1200, -480
1300, -530
1400, -551
1500, -583
1600, -632
1700, -663
1800, -715
1900, -738
2000, -778
2100, -815
2200, -852
2300, -897
2400, -929
2500, -962
2600, -995
2700, -1034
2800, -1059
2900, -1093
3000, -1142
3100, -1162
3200, -1173
3300, -1205
3400, -1230
3500, -1251
3600, -1295
3700, -1333
3800, -1366
3900, -1405
4000, -1449
4100, -1478
4200, -1525
4300, -1559
4400, -1598
4500, -1630
4600, -1664
4700, -1694
4800, -1732
4900, -1757
5000, -1804
5100, -1836
5200, -1865
5300, -1897
5400, -1925
5500, -1958
5600, -1984
5700, -2017
5800, -2041
5900, -2075
6100, -2160
6200, -2203
6300, -2237
6400, -2269
6500, -2314
6600, -2363
6700, -2403
6800, -2440
6900, -2456
7000, -2478
7100, -2513
7200, -2561
7300, -2594
7400, -2616
7500, -2650
7600, -2690
7700, -2720
7800, -2756
7900, -2788
8000, -2833
8100, -2867
8200, -2922
8300, -2952
8400, -2990
8500, -3025
8600, -3043
8700, -3078
8800, -3114
8900, -3162
9000, -3194
9100, -3227
9200, -3258
9300, -3305
9400, -3345
9500, -3390
9600, -3411
9700, -3443
9800, -3470
9900, -3493
10000, -3532
10100, -3577
10200, -3618
10300, -3666
10400, -3717
10500, -3742
10600, -3762
10700, -3802
10800, -3846
10900, -3879
11000, -3914
11100, -3965
11200, -3986
11300, -4013
11400, -4059
11500, -4099
11600, -4122
11700, -4151
11800, -4187
11900, -4236
12000, -4277
12100, -4309
12200, -4347
12300, -4392
12400, -4440
12500, -4468
12600, -4499
12700, -4527
12800, -4577
12900, -4609
13000, -4637
13100, -4691
13200, -4729
13300, -4766
13400, -4807
13500, -4848
13600, -4888
13700, -4915
13800, -4939
13900, -4972
14000, -5027
14100, -5048
14200, -5080
14300, -5120
14400, -5161
14500, -5197
14600, -5243
14700, -5296
14800, -5346
14900, -5353
15000, -5397
15100, -5439
15200, -5477
15300, -5532
15400, -5570
15500, -5632
15600, -5663
15700, -5693
15800, -5750
15900, -5786
16000, -5834
16100, -5866
16200, -5904
16300, -5956
16400, -5993
16500, -6044
16600, -6081
16700, -6106
16800, -6135
16900, -6182
17000, -6213
17100, -6253
17200, -6298
17300, -6326
17400, -6370
17500, -6417
17600, -6468
17700, -6516
17800, -6548
17900, -6575
18000, -6619
18100, -6674
18200, -6709
18300, -6752
18400, -6783
18500, -6824
18600, -6869
18700, -6905
18800, -6912
18900, -6953
19000, -6981
19100, -7019
19200, -7052
19300, -7100
19400, -7134
19500, -7168
19600, -7208
19700, -7238
19800, -7281
19900, -7313
20000, -7363
20100, -7389
20200, -7434
20300, -7486
