100, 250
200, 460
300, 795
400, 1125
500, 1415
600, 1605
700, 1795
800, 2090
900, 2305
1000, 2550
1100, 2725
1200, 2930
1300, 3105
1400, 3265
1500, 3515
1600, 3760
1700, 3950
1800, 4230
1900, 4425
2000, 4645
2100, 4880
2200, 5085
2300, 5195
2400, 5470
2500, 5690
2600, 5830
2700, 6070
2800, 6305
2900, 6645
3000, 6890
3100, 7105
3200, 7290
3300, 7550
3400, 7725
3500, 7990
3600, 8195
3700, 8445
3800, 8700
3900, 8920
4000, 9160
4100, 9460
4200, 9660
4300, 9855
4400, 10025
4500, 10160
4600, 10320
4700, 10650
4800, 10810
4900, 11080
5000, 11355
5100, 11442
